name;nationality;rider_url;height_recherchiert;weight_recherchiert
Aketza Peña;ES;aketza-pena;1.77;65
Andrea Moletta;IT;andrea-moletta;1.84;74
Andrea Tonti;IT;andrea-tonti;1.82;68
André Korff;DE;andre-korff;1.83;71
David Blanco;ES;david-blanco;;
Filippo Fiorelli;IT;filippo-fiorelli;;
Gabriele Bosisio;IT;gabriele-bosisio;1.82;70
Gotzon Martín;ES;gotzon-martin;;
José Antonio López;ES;jose-antonio-lopez;;
Manuele Tarozzi;IT;manuele-tarozzi;;
Matteo Rabottini;IT;matteo-rabottini;;
Sergio Ghisalberti;IT;sergio-ghisalberti;;
Theo Eltink;NL;theo-eltink;1.73;55
Thomas Gachignard;FR;thomas-gachignard;;
Thomas Ziegler;DE;thomas-ziegler;1.80;69
William Walker;AU;william-walker;;
