distance;race;stage_nr;url;distance_recherchiert
0.0;giro-d-italia;20;https://www.procyclingstats.com/race/giro-d-italia/2005/stage-20;119
0.0;giro-d-italia;20;https://www.procyclingstats.com/race/giro-d-italia/2006/stage-20;140
0.0;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2007/stage-21;185
0.0;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2013/stage-21;197
0.0;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2014/stage-21;172
0.0;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2015/stage-21;185
0.0;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2016/stage-21;163
0.0;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2018/stage-21;115
0.0;tour-de-france;21;https://www.procyclingstats.com/race/tour-de-france/2005/stage-21;144
0.0;tour-de-france;20;https://www.procyclingstats.com/race/tour-de-france/2006/stage-20;154
0.0;tour-de-france;20;https://www.procyclingstats.com/race/tour-de-france/2007/stage-20;146
0.0;tour-de-france;21;https://www.procyclingstats.com/race/tour-de-france/2008/stage-21;143
0.0;tour-de-france;21;https://www.procyclingstats.com/race/tour-de-france/2009/stage-21;164
0.0;tour-de-france;20;https://www.procyclingstats.com/race/tour-de-france/2010/stage-20;102
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2005/stage-21;136
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2006/stage-21;142
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2007/stage-21;104
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2008/stage-21;102
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2009/stage-21;110
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2010/stage-21;85
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2011/stage-21;94
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2012/stage-21;111
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2013/stage-21;109
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2016/stage-21;104
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2017/stage-21;117
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2018/stage-21;112
0.0;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-21;106
