year;race;stage_nr;url;vertical_meters_recherchiert
2005;giro-d-italia;20;https://www.procyclingstats.com/race/giro-d-italia/2005/stage-20;
2005;tour-de-france;21;https://www.procyclingstats.com/race/tour-de-france/2005/stage-21;
2005;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2005/stage-21;
2006;giro-d-italia;20;https://www.procyclingstats.com/race/giro-d-italia/2006/stage-20;
2006;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2006/stage-21;
2007;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2007/stage-21;
2007;tour-de-france;20;https://www.procyclingstats.com/race/tour-de-france/2007/stage-20;
2007;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2007/stage-21;
2008;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2008/stage-21;
2008;tour-de-france;21;https://www.procyclingstats.com/race/tour-de-france/2008/stage-21;
2008;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2008/stage-21;
2009;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2009/stage-21;
2009;tour-de-france;21;https://www.procyclingstats.com/race/tour-de-france/2009/stage-21;
2009;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2009/stage-21;
2010;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2010/stage-21;
2010;tour-de-france;20;https://www.procyclingstats.com/race/tour-de-france/2010/stage-20;
2010;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2010/stage-21;
2011;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2011/stage-21;
2011;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2011/stage-21;
2012;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2012/stage-21;
2012;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2012/stage-21;
2013;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2013/stage-21;
2013;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2013/stage-21;
2014;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2014/stage-21;
2014;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2014/stage-21;
2015;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2015/stage-21;
2016;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2016/stage-21;
2016;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2016/stage-21;
2017;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2017/stage-21;
2017;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2017/stage-21;
2018;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2018/stage-21;
2018;vuelta-a-espana;21;https://www.procyclingstats.com/race/vuelta-a-espana/2018/stage-21;
2020;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2020/stage-21;
2021;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2021/stage-21;
2022;giro-d-italia;21;https://www.procyclingstats.com/race/giro-d-italia/2022/stage-21;
