name;year;nationality;rider_url;rider_points_season_recherchiert
Aleksandr Vlasov;2020;RU;aleksandr-vlasov;1024
Aleksandr Vlasov;2021;RU;aleksandr-vlasov;845
Alexey Lutsenko;2013;KZ;aleksey-lutsenko;67
Alexey Lutsenko;2014;KZ;aleksey-lutsenko;290
Alexey Lutsenko;2016;KZ;aleksey-lutsenko;548
Alexey Lutsenko;2017;KZ;aleksey-lutsenko;581
Alexey Lutsenko;2018;KZ;aleksey-lutsenko;893
Alexey Lutsenko;2019;KZ;aleksey-lutsenko;1287
Alexey Lutsenko;2020;KZ;aleksey-lutsenko;496
Alexey Lutsenko;2021;KZ;aleksey-lutsenko;844
Andrey Kashechkin;2005;KZ;andrey-kashechkin;409
Andrey Kashechkin;2007;KZ;andrey-kashechkin;511
Andrey Kashechkin;2010;KZ;andrey-kashechkin;113
Andrey Kashechkin;2011;KZ;andrey-kashechkin;41
Assan Bazayev;2006;KZ;assan-bazayev;104
Assan Bazayev;2007;KZ;assan-bazayev;196
Assan Bazayev;2008;KZ;assan-bazayev;281
Assan Bazayev;2009;KZ;assan-bazayev;285
Assan Bazayev;2010;KZ;assan-bazayev;222
Biniam Girmay;2022;ER;biniam-girmay;1103
Biniam Girmay;2023;ER;biniam-girmay;501
Chris Barton;2011;US;chris-barton;0
David Zabriskie;2005;US;david-zabriskie;0
Denis Menchov;2005;RU;denis-menchov;1019
Denis Menchov;2006;RU;denis-menchov;699
Denis Menchov;2008;RU;denis-menchov;1030
Denis Menchov;2010;RU;denis-menchov;437
Denis Menchov;2011;RU;denis-menchov;769
Domingos Gonçalves;2019;PT;domingos-goncalves;0
Filippo Fiorelli;2020;IT;filippo-fiorelli;82
Filippo Fiorelli;2021;IT;filippo-fiorelli;219
Filippo Fiorelli;2022;IT;filippo-fiorelli;251
Filippo Fiorelli;2023;IT;filippo-fiorelli;256
Filippo Fiorelli;2024;IT;filippo-fiorelli;147
Francesco Tomei;2009;IT;francesco-tomei;0
Franck Bouyer;2009;FR;franck-bouyer;0
Frederik Willems;2011;BE;frederik-willems;0
Gang Xu;2015;CN;gang-xu;0
Giorgio Cecchinel;2014;IT;giorgio-cecchinel;0
Giovanni Bernaudeau;2009;FR;giovanni-bernaudeau;0
Gotzon Martín;2022;ES;gotzon-martin;92
Gotzon Martín;2024;ES;gotzon-martin;66
Héctor Sáez;2020;ES;hector-saez;0
Jack Bobridge;2012;AU;jack-bobridge;0
Jérôme Cousin;2020;FR;jerome-cousin;0
Lance Armstrong;2005;US;lance-armstrong;0
Lance Armstrong;2009;US;lance-armstrong;0
Lance Armstrong;2010;US;lance-armstrong;0
Leonardo Bertagnolli;2006;IT;leonardo-bertagnolli;0
Leonardo Bertagnolli;2010;IT;leonardo-bertagnolli;0
Manabu Ishibashi;2015;JP;manabu-ishibashi;0
Martin Salmon;2020;DE;martin-salmon;0
Maxim Iglinskiy;2005;KZ;maxim-iglinskiy;277
Maxim Iglinskiy;2006;KZ;maxim-iglinskiy;138
Maxim Iglinskiy;2007;KZ;maxim-iglinskiy;163
Maxim Iglinskiy;2008;KZ;maxim-iglinskiy;237
Maxim Iglinskiy;2009;KZ;maxim-iglinskiy;295
Maxim Iglinskiy;2011;KZ;maxim-iglinskiy;83
Maxim Iglinskiy;2013;KZ;maxim-iglinskiy;411
Maxim Iglinskiy;2014;KZ;maxim-iglinskiy;186
Merhawi Kudus;2014;ER;merhawi-kudus;229
Merhawi Kudus;2015;ER;merhawi-kudus;164
Merhawi Kudus;2016;ER;merhawi-kudus;205
Merhawi Kudus;2017;ER;merhawi-kudus;309
Merhawi Kudus;2018;ER;merhawi-kudus;238
Michael Boogerd;2005;NL;michael-boogerd;0
Natnael Berhane;2014;ER;natnael-berhane;209
Natnael Berhane;2015;ER;natnael-berhane;305
Natnael Berhane;2016;ER;natnael-berhane;166
Nic Dlamini;2020;ZA;nickolas-dlamini;0
Peter Kennaugh;2012;GB;peter-kennaugh;0
Ramón Carretero;2014;PA;ramon-carretero;0
Robert Stannard;2020;AU;robert-stannard;0
Robert Stannard;2021;AU;robert-stannard;0
Sebastian Lander;2013;DK;sebastian-lander;0
Serafín Martínez;2007;ES;serafin-martinez;0
William Bonnet;2020;FR;william-bonnet;0
Yukiya Arashiro;2009;JP;yukiya-arashiro;179
Yukiya Arashiro;2010;JP;yukiya-arashiro;301
Yukiya Arashiro;2012;JP;yukiya-arashiro;249
Yukiya Arashiro;2013;JP;yukiya-arashiro;189
Yukiya Arashiro;2014;JP;yukiya-arashiro;155
Yukiya Arashiro;2015;JP;yukiya-arashiro;232
Yukiya Arashiro;2016;JP;yukiya-arashiro;251
Yukiya Arashiro;2017;JP;yukiya-arashiro;192
Yukiya Arashiro;2019;JP;yukiya-arashiro;61
Yukiya Arashiro;2020;JP;yukiya-arashiro;55
Yukiya Arashiro;2021;JP;yukiya-arashiro;85
Yukiya Arashiro;2023;JP;yukiya-arashiro;157
