name;nationality;rider_url;year;current_team_recherchiert;team_class_recherchiert
Aketza Peña;ES;aketza-pena;2005;Euskaltel - Euskadi;PT
Aketza Peña;ES;aketza-pena;2006;Euskaltel - Euskadi;PT
Aketza Peña;ES;aketza-pena;2007;Euskaltel - Euskadi;PT
Aleksandr Vlasov;RU;aleksandr-vlasov;2020;Astana Pro Team ;WT
Aleksandr Vlasov;RU;aleksandr-vlasov;2021;Astana - Premier Tech ;WT
Aleksandr Vlasov;RU;aleksandr-vlasov;2022;BORA - hansgrohe ;WT
Aleksandr Vlasov;RU;aleksandr-vlasov;2023;BORA - hansgrohe ;WT
Aleksandr Vlasov;RU;aleksandr-vlasov;2024;Red Bull - BORA - hansgrohe ;WT
Aleksandr Vlasov;RU;aleksandr-vlasov;2025;Red Bull - BORA - hansgrohe ;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2013;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2014;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2016;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2017;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2018;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2019;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2020;Astana Pro Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2021;Astana Qazaqstan Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2022;Astana Qazaqstan Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2023;Astana Qazaqstan Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2024;Astana Qazaqstan Team;WT
Alexey Lutsenko;KZ;aleksey-lutsenko;2025;Israel - Premier Tech;PRT
Andrea Moletta;IT;andrea-moletta;2005;Gerolsteiner;PT
Andrea Moletta;IT;andrea-moletta;2006;Gerolsteiner;PT
Andrea Moletta;IT;andrea-moletta;2007;Gerolsteiner;PT
Andrea Moletta;IT;andrea-moletta;2008;Gerolsteiner;PT
Andrea Tonti;IT;andrea-tonti;2005;Lampre-Caffita;PT
