race;year;stage_nr;url;gradient_final_km
tour-de-france;2005;21;https://www.procyclingstats.com/race/tour-de-france/2005/stage-21;0 %
tour-de-france;2006;20;https://www.procyclingstats.com/race/tour-de-france/2006/stage-20;0 %
tour-de-france;2007;20;https://www.procyclingstats.com/race/tour-de-france/2007/stage-20;0 %
tour-de-france;2008;21;https://www.procyclingstats.com/race/tour-de-france/2008/stage-21;0 %
tour-de-france;2009;21;https://www.procyclingstats.com/race/tour-de-france/2009/stage-21;0 %
tour-de-france;2010;20;https://www.procyclingstats.com/race/tour-de-france/2010/stage-20;0 %
giro-d-italia;2005;20;https://www.procyclingstats.com/race/giro-d-italia/2005/stage-20;0 %
giro-d-italia;2006;20;https://www.procyclingstats.com/race/giro-d-italia/2006/stage-20;0 %
giro-d-italia;2007;21;https://www.procyclingstats.com/race/giro-d-italia/2007/stage-21;0 %
giro-d-italia;2008;21;https://www.procyclingstats.com/race/giro-d-italia/2008/stage-21;0 %
giro-d-italia;2009;21;https://www.procyclingstats.com/race/giro-d-italia/2009/stage-21;0 %
giro-d-italia;2010;21;https://www.procyclingstats.com/race/giro-d-italia/2010/stage-21;0 %
giro-d-italia;2011;21;https://www.procyclingstats.com/race/giro-d-italia/2011/stage-21;0 %
giro-d-italia;2013;21;https://www.procyclingstats.com/race/giro-d-italia/2013/stage-21;0 %
giro-d-italia;2014;21;https://www.procyclingstats.com/race/giro-d-italia/2014/stage-21;0 %
giro-d-italia;2015;21;https://www.procyclingstats.com/race/giro-d-italia/2015/stage-21;0 %
giro-d-italia;2016;21;https://www.procyclingstats.com/race/giro-d-italia/2016/stage-21;0 %
giro-d-italia;2017;21;https://www.procyclingstats.com/race/giro-d-italia/2017/stage-21;0 %
giro-d-italia;2018;21;https://www.procyclingstats.com/race/giro-d-italia/2018/stage-21;0 %
giro-d-italia;2020;21;https://www.procyclingstats.com/race/giro-d-italia/2020/stage-21;0 %
giro-d-italia;2021;21;https://www.procyclingstats.com/race/giro-d-italia/2021/stage-21;0 %
giro-d-italia;2022;21;https://www.procyclingstats.com/race/giro-d-italia/2022/stage-21;0 %
vuelta-a-espana;2005;21;https://www.procyclingstats.com/race/vuelta-a-espana/2005/stage-21;0 %
vuelta-a-espana;2006;21;https://www.procyclingstats.com/race/vuelta-a-espana/2006/stage-21;0 %
vuelta-a-espana;2007;21;https://www.procyclingstats.com/race/vuelta-a-espana/2007/stage-21;0 %
vuelta-a-espana;2008;21;https://www.procyclingstats.com/race/vuelta-a-espana/2008/stage-21;0 %
vuelta-a-espana;2009;21;https://www.procyclingstats.com/race/vuelta-a-espana/2009/stage-21;0 %
vuelta-a-espana;2010;21;https://www.procyclingstats.com/race/vuelta-a-espana/2010/stage-21;0 %
vuelta-a-espana;2011;21;https://www.procyclingstats.com/race/vuelta-a-espana/2011/stage-21;0 %
vuelta-a-espana;2012;21;https://www.procyclingstats.com/race/vuelta-a-espana/2012/stage-21;0 %
vuelta-a-espana;2013;21;https://www.procyclingstats.com/race/vuelta-a-espana/2013/stage-21;0 %
vuelta-a-espana;2014;21;https://www.procyclingstats.com/race/vuelta-a-espana/2014/stage-21;0 %
vuelta-a-espana;2016;21;https://www.procyclingstats.com/race/vuelta-a-espana/2016/stage-21;0 %
vuelta-a-espana;2017;21;https://www.procyclingstats.com/race/vuelta-a-espana/2017/stage-21;0 %
vuelta-a-espana;2018;21;https://www.procyclingstats.com/race/vuelta-a-espana/2018/stage-21;0 %
vuelta-a-espana;2019;21;https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-21;0 %
