meta_rider_url,meta_year,rider_points_season,rider_rank_season,lag_rider_points_season,lag_rider_rank_season
adrian-palomares,2011,99,563,,
albert-torres,2020,60,469,,
alberto-loddo,2006,141,419,,
alejandro-valverde,2012,2118,3,,
alexander-serov,2016,33,1103,,
alexandr-vinokourov,2009,447,112,,
alexis-renard,2020,28,757,,
ander-okamika,2021,71,574,,
andrii-ponomar,2021,43,759,,
angel-luis-casero,2005,12,1526,,
anthony-perez,2017,191,350,,
anton-palzer,2021,25,979,,
antonio-cabello-baena,2011,20,1397,,
aritz-bagues,2018,78,729,,
ben-zwiehoff,2021,58,635,,
bjorn-leukemans,2009,262,223,,
branislau-samoilau,2007,193,312,,
cameron-wurf,2020,25,815,,
carlos-canal,2021,41,777,,
carlos-quintero,2013,45,882,,
cheng-ji,2012,25,1200,,
chris-barton,2011,0,9999,,
cristian-rodriguez,2016,21,1337,,
cyril-lemoine,2008,96,595,,
daan-olivier,2017,53,921,,
damien-gaudin,2009,53,778,,
daniel-cavia-sanz,2025,199,320,,
danilo-di-luca,2011,247,246,,
danilo-hondo,2008,272,229,,
david-millar,2006,180,326,,
david-zabriskie,2006,205,290,,
davide-ricci-bitti,2011,34,1112,,
dominique-rollin,2015,25,1227,,
egan-bernal,2023,274,239,,
emmanuel-morin,2020,167,206,,
eugert-zhupa,2015,68,741,,
fernando-orjuela,2017,60,852,,
filippo-tagliani,2021,65,605,,
florent-barle,2012,26,1184,,
francisco-munoz-llana,2024,25,1113,,
francisco-perez-sanchez,2005,242,247,,
franck-bouyer,2009,0,9999,,
frank-schleck,2014,517,95,,
frederic-brun-2,2015,76,701,,
frederik-willems,2012,56,820,,
fredrik-kessiakoff,2009,387,131,,
guillaume-van-keirsbulck,2022,47,776,,
gustavo-cesar-veloso,2012,28,1146,,
guy-niv,2018,9,1867,,
hugo-de-la-calle-arango,2025,140,427,,
jack-bobridge,2013,13,1528,,
javier-chacon-quesada,2012,46,903,,
javier-ramirez-abeja,2009,41,893,,
jesus-hernandez-3,2009,142,394,,
jesus-rosendo,2007,20,1395,,
joan-bou,2021,41,778,,
johan-esteban-chaves,2014,521,92,,
johnnie-walker,2010,160,367,,
jonathan-dibben,2020,40,605,,
jorge-cubero,2018,30,1207,,
jose-luis-faura-asensio,2025,54,782,,
jose-vicente-toribio,2010,20,1304,,
juan-felipe-osorio,2017,28,1241,,
juan-javier-estrada-ruiz,2008,20,1376,,
juan-javier-estrada-ruiz,2010,25,1166,,
julien-loubet,2007,22,1327,,
kalle-kriit,2010,93,556,,
kamil-malecki,2022,40,872,,
kevin-van-melsen,2021,43,753,,
lance-armstrong,2005,0,9999,,
lance-armstrong,2009,0,9999,,
lance-armstrong,2010,0,9999,,
lander-aperribay,2008,10,1734,,
leonardo-bertagnolli,2005,2,2214,,
leonardo-bertagnolli,2007,5,2053,,
leonardo-bertagnolli,2009,2,2303,,
leonardo-bertagnolli,2011,57,839,,
luca-chirico,2020,39,622,,
mark-christian,2021,30,901,,
mark-donovan,2020,78,394,,
martin-salmon,2020,0,9999,,
maryan-hary,2007,169,354,,
matteo-spreafico,2020,5,1348,,
matthew-lloyd,2012,25,1194,,
mattia-gavazzi,2013,212,277,,
maxim-gourov,2007,99,565,,
michael-boogerd,2006,490,88,,
michel-hessmann,2025,42,884,,
miguel-angel-rubiano,2006,68,755,,
miguel-angel-rubiano,2012,530,92,,
miguel-angel-rubiano,2013,365,147,,
miguel-angel-rubiano,2014,199,308,,
miguel-angel-rubiano,2015,202,328,,
mikel-iturria,2021,115,421,,
nickolas-dlamini,2021,7,1537,,
nikita-eskov,2008,93,606,,
ondrej-cink,2017,117,539,,
oscar-cabedo,2018,54,903,,
pau-miquel-delgado,2022,35,923,,
pawel-poljanski,2014,72,690,,
pelayo-sanchez-mayo,2021,44,749,,
peter-kennaugh,2013,88,601,,
quinten-hermans,2021,204,259,,
raffaele-illiano,2008,124,475,,
rein-taaramae,2021,258,210,,
riccardo-stacchiotti,2015,120,536,,
robert-stannard,2020,0,9999,,
robert-stannard,2021,0,9999,,
robert-stannard,2022,80,574,,
rodolfo-andres-torres,2014,45,905,,
romain-sicard,2012,91,612,,
ruggero-marzoli,2009,122,447,,
ruslan-ivanov,2008,239,263,,
said-haddou,2009,186,310,,
samuele-rivi,2021,43,758,,
santiago-perez,2007,38,1024,,
sebastien-chavanel,2014,35,1040,,
serafin-martinez,2007,0,9999,,
serafin-martinez,2008,24,1262,,
sergio-carrasco,2010,25,1165,,
sergio-carrasco,2012,37,1008,,
sergio-martin2,2021,25,980,,
sergio-samitier,2019,82,731,,
simone-andreetta,2016,74,707,,
simone-stortoni,2010,151,387,,
simone-stortoni,2015,80,674,,
songezo-jim,2015,37,1033,,
stephen-williams,2020,5,1370,,
thymen-arensman,2020,80,388,,
victor-lafay,2020,45,563,,
vladimir-gusev,2010,356,139,,
vladimir-isaychev,2009,20,1308,,
vojtech-repa,2022,109,442,,
volodymyr-dyudya,2006,29,1142,,
