Feature / Interaktion,TOP_10,TOP_20,TOP_5
lag_rider_rank_season,0.6183190363036251,0.5966092348544316,0.5090070454058628
vertical_meters & rider_bmi,0.3628423965896872,0.3032623481853162,0.31937298102661277
lag_rider_points_season,0.2696284819659979,0.2114871716359178,0.4397766038137516
lag_race_competitiveness_median,0.1632967446281786,0.14119193018926893,0.19717934781274998
rider_bmi & gradient_final_km,0.1490359339189288,0.16112668260175037,0.12577168901265212
age_at_race,0.146129764692294,0.11874639867362415,0.14906436989400007
rider_bmi,0.13141124066842982,0.1112664933872584,0.15296800370639366
gradient_final_km & lag_rider_rank_season,0.1312552723063978,0.13251388710305761,0.02156823424403909
stage_nr,0.11518945727032762,0.1074051691809733,0.10262355095179103
lag_team_power_index,0.09034915407019685,0.07814081994424908,0.034168940957592736
rider_bmi & weather_temp_trend,0.07298062538982973,0.07039672819282597,0.05666296155222162
gradient_final_km & lag_rider_points_season,0.049441274992323266,0.05642903874512204,0.05056074484941056
gradient_final_km,0.03534880837196823,0.037665874068903156,0.010751242893133468
vertical_meters,0.03287351104245973,0.003670733460792044,0.04377070537751903
weather_temp_trend,0.011277171746029045,0.009665597486272647,0.005339868681106674
weather_precipitation_mean,0.006454073971262719,0.0037010832291863916,0.0032071593382562
weather_temp_mean,0.006386656760509056,0.00458492726416675,0.009945950453147596
team_tier,0.006304818954069018,0.008446266117785817,0.00029740179000194194
wind_stability_index,0.006143328964394213,0.004546311845688217,0.009020157742959188
weather_humidity_mean,0.0052398081746399955,0.00492268538796441,0.0033512888952943027
distance,0.00435103421210991,0.004592280401888058,0.0030262228079618045
weather_rain_prob_mean,0.0021266665859962365,0.002348933804355672,0.0032613029725934504
lag_rider_rank_season & lag_team_power_index,0.0,0.0,0.018119317521686995
lag_rider_points_season & lag_team_power_index,0.0,0.0,0.02716600714859074
age_at_race & lag_rider_points_season,0.0,0.0,0.014848593829008636
age_at_race & lag_rider_rank_season,0.0,0.0,0.03357498808917393
lag_rider_rank_season & lag_race_competitiveness_median,0.0,0.0,0.027904601600166647
stage_nr & rider_bmi,0.0,0.0,0.03164266070706392
rider_bmi & weather_temp_mean,0.0,0.0,0.016346147261472262
