run_label,target,params_json,params_short,roc_auc,average_precision,prediction_path,status,error_message,n_estimators,softmax_temperature,average_before_softmax,balance_probabilities,fit_seconds,predict_seconds,total_seconds,cache_load_seconds,runtime_status,runtime_time_source,api_run_timestamp,runtime_complete_for_comparison,n_estimators_sort,n_params_sort
grid_005,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_005.csv,cache_hit,,4,0.8,True,True,0.423,23.092,23.553,0.01,cache_hit,current_api_run,2026-06-30T20:07:13.460860+00:00,True,4,4
grid_013,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_013.csv,cache_hit,,4,1.2,True,True,0.631,22.903,23.567,0.01,cache_hit,current_api_run,2026-06-30T20:10:25.815942+00:00,True,4,4
grid_017,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_017.csv,cache_hit,,4,1.4,True,True,0.425,23.104,23.568,0.01,cache_hit,current_api_run,2026-06-30T20:12:01.294069+00:00,True,4,4
grid_002,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_002.csv,cache_hit,,4,0.6,True,False,0.425,23.259,23.722,0.01,cache_hit,current_api_run,2026-06-30T20:06:02.252089+00:00,True,4,4
grid_014,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_014.csv,cache_hit,,4,1.2,True,False,0.426,23.317,23.78,0.01,cache_hit,current_api_run,2026-06-30T20:10:49.387060+00:00,True,4,4
grid_006,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_006.csv,cache_hit,,4,0.8,True,False,0.426,23.52,23.978,0.012,cache_hit,current_api_run,2026-06-30T20:07:37.018925+00:00,True,4,4
grid_010,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_010.csv,cache_hit,,4,1.0,True,False,0.627,23.49,24.149,0.011,cache_hit,current_api_run,2026-06-30T20:09:13.088926+00:00,True,4,4
grid_009,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_009.csv,cache_hit,,4,1.0,True,True,0.428,23.694,24.163,0.01,cache_hit,current_api_run,2026-06-30T20:08:48.920975+00:00,True,4,4
grid_018,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_018.csv,cache_hit,,4,1.4,True,False,0.427,23.698,24.167,0.01,cache_hit,current_api_run,2026-06-30T20:12:24.866090+00:00,True,4,4
grid_001,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,0.7831280194000072,0.27404284799510403,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_001.csv,cache_hit,,4,0.6,True,True,1.509,24.145,25.687,0.016,cache_hit,current_api_run,2026-06-30T20:05:36.557595+00:00,True,4,4
grid_019,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,0.7830393204098272,0.27392728068509886,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_019.csv,cache_hit,,4,1.4,False,True,0.436,22.85,23.323,0.012,cache_hit,current_api_run,2026-06-30T20:12:49.042248+00:00,True,4,4
grid_020,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,0.7830393204098272,0.27392728068509886,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_020.csv,cache_hit,,4,1.4,False,False,0.427,23.059,23.52,0.01,cache_hit,current_api_run,2026-06-30T20:13:12.367532+00:00,True,4,4
