run_label,target,params_json,params_short,rows_train,rows_valid,fit_seconds,predict_seconds,total_seconds,cache_load_seconds,runtime_status,error_message
grid_001,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,169349,8897,0.43,23.255,23.723,,api_run,
grid_002,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,169349,8897,0.429,23.459,23.924,,api_run,
grid_003,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,169349,8897,0.421,23.309,23.763,,api_run,
grid_004,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,169349,8897,0.425,23.465,23.923,,api_run,
grid_005,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,169349,8897,0.426,23.265,23.728,,api_run,
grid_006,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,169349,8897,0.428,23.269,23.73,,api_run,
grid_007,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,169349,8897,0.423,23.28,23.738,,api_run,
grid_008,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,169349,8897,0.425,23.086,23.544,,api_run,
grid_009,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,169349,8897,0.434,23.027,23.496,,api_run,
grid_010,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,169349,8897,0.43,23.479,23.944,,api_run,
grid_011,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,169349,8897,0.425,23.247,23.709,,api_run,
grid_012,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,169349,8897,0.428,23.067,23.528,,api_run,
grid_013,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,169349,8897,0.425,23.455,23.937,,api_run,
grid_014,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,169349,8897,0.447,23.243,23.732,,api_run,
grid_015,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,169349,8897,0.43,23.035,23.501,,api_run,
grid_016,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,169349,8897,0.426,23.436,23.896,,api_run,
grid_017,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,169349,8897,0.426,23.24,23.699,,api_run,
grid_018,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,169349,8897,0.427,23.458,23.92,,api_run,
grid_019,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,169349,8897,0.43,23.441,23.903,,api_run,
grid_020,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,169349,8897,0.423,23.252,23.709,,api_run,
grid_021,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,169349,8897,0.425,45.265,45.724,,api_run,
grid_022,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,169349,8897,0.427,45.695,46.156,,api_run,
grid_023,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,169349,8897,0.427,45.698,46.158,,api_run,
grid_024,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,169349,8897,0.427,44.716,45.178,,api_run,
grid_025,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,169349,8897,0.428,45.088,45.547,,api_run,
grid_026,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,169349,8897,0.428,45.694,46.157,,api_run,
grid_027,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,169349,8897,0.429,45.481,45.944,,api_run,
grid_028,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,169349,8897,0.429,45.419,45.88,,api_run,
grid_029,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,169349,8897,0.428,45.469,45.932,,api_run,
grid_030,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,169349,8897,0.424,45.72,46.177,,api_run,
grid_031,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,169349,8897,0.428,45.919,46.382,,api_run,
grid_032,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,169349,8897,0.428,45.448,45.909,,api_run,
grid_033,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,169349,8897,0.427,45.456,45.917,,api_run,
grid_034,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,169349,8897,0.425,45.332,45.817,,api_run,
grid_035,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,169349,8897,0.422,44.91,45.369,,api_run,
grid_036,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,169349,8897,0.426,45.709,46.19,,api_run,
grid_037,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,169349,8897,0.424,45.311,45.767,,api_run,
grid_038,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,169349,8897,0.422,46.272,46.729,,api_run,
grid_039,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,169349,8897,0.427,45.085,45.544,,api_run,
grid_040,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,169349,8897,0.422,45.891,46.346,,api_run,
