stage_id,stage_nr,meta_year,meta_race,variant_name,model_used,model_family,model_role,model_params_json,score_name,score_formula,comparison_position,predicted_rider,predicted_team,predicted_rank_by_model,predicted_score_topk_raw_sum,predicted_actual_rank,predicted_is_actual_top20,actual_rider,actual_team,actual_rank,actual_predicted_rank_by_model,actual_score_topk_raw_sum,actual_was_predicted_top20,top20_hit_count,top20_precision,top20_recall
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,1,Tadej Pogačar,UAE Team Emirates - XRG,1,2.877165973186493,1.0,True,Tadej Pogačar,UAE Team Emirates - XRG,1.0,1,2.877165973186493,True,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,2,Jonas Vingegaard,Team Visma | Lease a Bike,2,2.852355122566223,2.0,True,Jonas Vingegaard,Team Visma | Lease a Bike,2.0,2,2.852355122566223,True,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,3,Aleksandr Vlasov,Red Bull - BORA - hansgrohe,3,2.7876622080802917,34.0,False,Florian Lipowitz,Red Bull - BORA - hansgrohe,3.0,30,1.6138414442539215,False,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,4,Matteo Jorgenson,Team Visma | Lease a Bike,4,2.7713640928268433,15.0,True,Tobias Halland Johannessen,Uno-X Mobility,4.0,17,2.126669406890869,True,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,5,Ben O'Connor,Team Jayco AlUla,5,2.746555805206299,16.0,True,Oscar Onley,Team Picnic PostNL,5.0,18,2.0737690329551697,True,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,6,Marc Hirschi,Tudor Pro Cycling Team,6,2.7129055857658386,57.0,False,Kévin Vauquelin,Arkéa - B&B Hotels,6.0,126,0.20930571667850018,False,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,7,Remco Evenepoel,Soudal Quick-Step,7,2.692184090614319,7.0,True,Remco Evenepoel,Soudal Quick-Step,7.0,7,2.692184090614319,True,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,8,Adam Yates,UAE Team Emirates - XRG,8,2.6702133417129517,23.0,False,Felix Gall,Decathlon AG2R La Mondiale Team,8.0,51,1.083440750837326,False,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,9,Carlos Rodríguez,INEOS Grenadiers,9,2.643870532512665,22.0,False,Primož Roglič,Red Bull - BORA - hansgrohe,9.0,16,2.2329508662223816,True,8,0.4,0.4
tour-de-france_2025_ST12,12,2025,tour-de-france,standard,TabPFNClassifier | variant=standard | score=score_topk_raw_sum,TabPFNClassifier,final_standard_model,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",score_topk_raw_sum,p_top5_raw + p_top10_raw + p_top20_raw,10,Enric Mas,Movistar Team,10,2.6279916167259216,33.0,False,Cristián Rodríguez,Arkéa - B&B Hotels,10.0,45,1.1234553456306458,False,8,0.4,0.4
