variant_name,score_name,stage_id,meta_year,meta_race,stage_nr,rows,ndcg_at_5,ndcg_at_10,ndcg_at_20,top_1_accuracy,top_5_accuracy,top_10_accuracy,top_20_accuracy,map,map_at_10,spearman_rho
standard,score_topk_raw_sum,giro-d-italia_2024_ST1,2024,giro-d-italia,1,176,0.2139862647345275,0.18686235809519894,0.22974043203032513,0.0,0.0,0.0,1.0,0.19433202061371196,0.05,-0.00976007043803654
standard,score_topk_raw_sum,giro-d-italia_2024_ST10,2024,giro-d-italia,10,158,0.4129661340768606,0.3297146373676949,0.34348783106366615,0.0,0.0,0.0,0.0,0.41102672777080346,0.065,0.3116942188362828
standard,score_topk_raw_sum,giro-d-italia_2024_ST11,2024,giro-d-italia,11,155,0.5255527409340818,0.44543990989744753,0.5027152242738875,0.0,0.0,0.0,0.0,0.5218818763387179,0.25,0.21865231542650898
standard,score_topk_raw_sum,giro-d-italia_2024_ST12,2024,giro-d-italia,12,154,0.07132875491150917,0.052422057695528976,0.15255295408805375,0.0,0.0,0.0,0.0,0.19169468578008245,0.0,-0.09537445476724415
standard,score_topk_raw_sum,giro-d-italia_2024_ST13,2024,giro-d-italia,13,154,0.11305340175787205,0.24014027219022724,0.33813527438688207,0.0,0.0,0.0,1.0,0.3904006972491171,0.034722222222222224,0.2958032479854112
standard,score_topk_raw_sum,giro-d-italia_2024_ST15,2024,giro-d-italia,15,150,0.7182389434354811,0.6055785551546314,0.6583893173728445,1.0,1.0,1.0,1.0,0.6637743741691866,0.3044444444444444,0.47438730610249347
standard,score_topk_raw_sum,giro-d-italia_2024_ST16,2024,giro-d-italia,16,146,0.5722318118905662,0.4778455118663796,0.5553083198033206,1.0,1.0,1.0,1.0,0.6000419068585987,0.16666666666666666,0.38021266135173964
standard,score_topk_raw_sum,giro-d-italia_2024_ST17,2024,giro-d-italia,17,145,0.5466484618075886,0.6080315287631344,0.6046133246472188,0.0,0.0,1.0,1.0,0.5615365289152469,0.2844444444444444,0.46627302786962677
standard,score_topk_raw_sum,giro-d-italia_2024_ST18,2024,giro-d-italia,18,144,0.6857520085490891,0.6122129931461373,0.5874982526989474,0.0,1.0,1.0,1.0,0.5061420707611572,0.38416666666666666,0.26176352383248935
standard,score_topk_raw_sum,giro-d-italia_2024_ST19,2024,giro-d-italia,19,142,0.0,0.0,0.15824182519848767,0.0,0.0,0.0,0.0,0.202706500405729,0.0,0.3296059649071336
standard,score_topk_raw_sum,giro-d-italia_2024_ST2,2024,giro-d-italia,2,175,0.387849655221185,0.4170862068743285,0.44652790948246396,1.0,1.0,1.0,1.0,0.3527146657899773,0.15833333333333333,0.3229780564263323
standard,score_topk_raw_sum,giro-d-italia_2024_ST20,2024,giro-d-italia,20,142,0.5870338659231393,0.538536745132143,0.5843484138065351,1.0,1.0,1.0,1.0,0.5552463208932796,0.24285714285714283,0.401346630594458
standard,score_topk_raw_sum,giro-d-italia_2024_ST21,2024,giro-d-italia,21,142,0.7294870343865364,0.5885482168047633,0.5847341512890106,0.0,1.0,1.0,1.0,0.46395832567893913,0.38416666666666666,0.2520479221108529
standard,score_topk_raw_sum,giro-d-italia_2024_ST3,2024,giro-d-italia,3,173,0.39769728514363656,0.4573049241146225,0.5025813264283667,0.0,0.0,1.0,1.0,0.5781727679131181,0.1,0.3374827910685067
standard,score_topk_raw_sum,giro-d-italia_2024_ST4,2024,giro-d-italia,4,170,0.38289523111106344,0.4904628752991939,0.47620549099546966,0.0,0.0,0.0,0.0,0.4133464346706498,0.21051587301587302,0.3068068709888191
standard,score_topk_raw_sum,giro-d-italia_2024_ST5,2024,giro-d-italia,5,169,0.15678842759531933,0.27107787724562993,0.2580402630123229,0.0,0.0,0.0,0.0,0.3479421215631904,0.06928571428571428,0.23839938342200787
standard,score_topk_raw_sum,giro-d-italia_2024_ST6,2024,giro-d-italia,6,165,0.07132875491150917,0.052422057695528976,0.11192141297026233,0.0,0.0,0.0,0.0,0.17638334360927782,0.0,0.03472604386503888
standard,score_topk_raw_sum,giro-d-italia_2024_ST8,2024,giro-d-italia,8,164,0.5524753337478715,0.565968687093841,0.5690203629473861,1.0,1.0,1.0,1.0,0.49002983197208383,0.25666666666666665,0.4125719260538952
standard,score_topk_raw_sum,giro-d-italia_2024_ST9,2024,giro-d-italia,9,162,0.5403547949666548,0.39712609974672525,0.49370465529488533,0.0,0.0,0.0,1.0,0.49312711655306884,0.2,0.1326759446257979
standard,score_topk_raw_sum,giro-d-italia_2025_ST1,2025,giro-d-italia,1,172,0.3391602052736162,0.41308457582803093,0.4475737361686748,1.0,1.0,1.0,1.0,0.29268850450896006,0.16666666666666666,0.1159654075368553
standard,score_topk_raw_sum,giro-d-italia_2025_ST11,2025,giro-d-italia,11,163,0.387849655221185,0.47358141243753205,0.6206653058047606,0.0,0.0,1.0,1.0,0.557842639945892,0.25666666666666665,0.3872983412860714
standard,score_topk_raw_sum,giro-d-italia_2025_ST12,2025,giro-d-italia,12,163,0.7438044470437415,0.7220333315133327,0.7115106095223034,0.0,1.0,1.0,1.0,0.6985602394882173,0.27666666666666667,0.3134570302758242
standard,score_topk_raw_sum,giro-d-italia_2025_ST13,2025,giro-d-italia,13,163,0.5684153189413677,0.523368671480651,0.46748973362110435,0.0,1.0,1.0,1.0,0.47740531644446643,0.3430952380952381,0.36781828963483904
standard,score_topk_raw_sum,giro-d-italia_2025_ST14,2025,giro-d-italia,14,162,0.1312050775123418,0.1684798964525192,0.17086735388445184,0.0,0.0,0.0,0.0,0.17680848360145265,0.04,0.22391720684598784
standard,score_topk_raw_sum,giro-d-italia_2025_ST15,2025,giro-d-italia,15,161,0.048689449947568804,0.13851432035805314,0.1528076811311613,0.0,0.0,0.0,0.0,0.2546303358699468,0.01111111111111111,0.39025189786059356
standard,score_topk_raw_sum,giro-d-italia_2025_ST16,2025,giro-d-italia,16,157,0.11506378074895644,0.24886894241326674,0.3746367005831296,0.0,0.0,0.0,0.0,0.45417879638141384,0.014285714285714285,0.4265407252587773
standard,score_topk_raw_sum,giro-d-italia_2025_ST17,2025,giro-d-italia,17,155,0.1312050775123418,0.30370914589411546,0.3571292752104609,0.0,0.0,1.0,1.0,0.3684064647818236,0.07833333333333334,0.38524378846959484
standard,score_topk_raw_sum,giro-d-italia_2025_ST18,2025,giro-d-italia,18,154,0.0,0.029343600829094776,0.04116339966236354,0.0,0.0,0.0,0.0,0.13814972847346518,0.0,0.08666387376064796
standard,score_topk_raw_sum,giro-d-italia_2025_ST19,2025,giro-d-italia,19,152,0.41383858190702194,0.5417985919124433,0.4819948472924055,0.0,0.0,0.0,0.0,0.49077776097233866,0.29603174603174603,0.5535576377640634
standard,score_topk_raw_sum,giro-d-italia_2025_ST20,2025,giro-d-italia,20,152,0.1278554557904452,0.2437371605367739,0.2554629250024348,0.0,0.0,0.0,0.0,0.33545664777098605,0.03111111111111111,0.5093596867119102
standard,score_topk_raw_sum,giro-d-italia_2025_ST21,2025,giro-d-italia,21,152,0.8573424901769816,0.6563027434815549,0.6315927952828786,0.0,1.0,1.0,1.0,0.5340975776024667,0.32166666666666666,0.31342477736999297
standard,score_topk_raw_sum,giro-d-italia_2025_ST3,2025,giro-d-italia,3,172,0.0,0.15068567045080522,0.14628368693197927,0.0,0.0,1.0,1.0,0.1698478641918907,0.0325,0.35602078189154834
standard,score_topk_raw_sum,giro-d-italia_2025_ST4,2025,giro-d-italia,4,172,0.6884730055194255,0.6301489878115778,0.6469562875535403,,,,,0.5819989688584919,0.25,0.20590628338557107
standard,score_topk_raw_sum,giro-d-italia_2025_ST5,2025,giro-d-italia,5,171,0.3391602052736162,0.2732785149433336,0.35322431738100424,1.0,1.0,1.0,1.0,0.246518449681343,0.1,0.13658050735594116
standard,score_topk_raw_sum,giro-d-italia_2025_ST6,2025,giro-d-italia,6,168,0.1695801026368081,0.3348815995793634,0.315736916428948,0.0,1.0,1.0,1.0,0.3726076893229814,0.09523809523809523,0.2083812088418261
standard,score_topk_raw_sum,giro-d-italia_2025_ST7,2025,giro-d-italia,7,165,0.6696107117857037,0.6457758474537348,0.7112139382650422,1.0,1.0,1.0,1.0,0.6591852413769499,0.3488095238095238,0.48908449763577605
standard,score_topk_raw_sum,giro-d-italia_2025_ST8,2025,giro-d-italia,8,165,0.17159048162789248,0.2107901932966545,0.2906012247731714,0.0,0.0,0.0,0.0,0.4175205364259221,0.01111111111111111,0.3835092031095558
standard,score_topk_raw_sum,giro-d-italia_2025_ST9,2025,giro-d-italia,9,163,0.6588294157352994,0.6460403280278962,0.6365739054450023,0.0,0.0,1.0,1.0,0.6220848142525497,0.5133333333333333,0.3806341130895971
standard,score_topk_raw_sum,tour-de-france_2024_ST1,2024,tour-de-france,1,173,0.7000872676810114,0.588765301949078,0.5413729977079274,0.0,0.0,0.0,0.0,0.4904095649354271,0.33999999999999997,0.3701809197565487
standard,score_topk_raw_sum,tour-de-france_2024_ST10,2024,tour-de-france,10,170,0.5516028859177102,0.5466033375273991,0.5024761631033379,1.0,1.0,1.0,1.0,0.48139237901904286,0.25,0.24111601663399715
standard,score_topk_raw_sum,tour-de-france_2024_ST11,2024,tour-de-france,11,166,0.9434732991210638,0.878543980187673,0.8157726066268342,1.0,1.0,1.0,1.0,0.7071380197466979,0.67,0.42131421712981487
standard,score_topk_raw_sum,tour-de-france_2024_ST12,2024,tour-de-france,12,160,0.7227265726449517,0.5865489839865344,0.5705222237854374,0.0,0.0,0.0,0.0,0.41079474788900683,0.3571428571428571,0.24291573889605061
standard,score_topk_raw_sum,tour-de-france_2024_ST13,2024,tour-de-france,13,157,0.5087403079104242,0.4817048685954765,0.45068935895098755,1.0,1.0,1.0,1.0,0.3094238575091818,0.2595238095238095,0.25869051532197546
standard,score_topk_raw_sum,tour-de-france_2024_ST14,2024,tour-de-france,14,152,0.7507870966196645,0.7726927902446912,0.7576881107849136,0.0,1.0,1.0,1.0,0.6720263341359838,0.488095238095238,0.5221194786733097
standard,score_topk_raw_sum,tour-de-france_2024_ST15,2024,tour-de-france,15,150,0.8638404983775365,0.8025742607198029,0.8534709277246892,0.0,1.0,1.0,1.0,0.7962278934254741,0.4833333333333333,0.5422658784834882
standard,score_topk_raw_sum,tour-de-france_2024_ST16,2024,tour-de-france,16,148,0.5446380828165043,0.5369747500937266,0.5629336377666627,1.0,1.0,1.0,1.0,0.5833492149313173,0.2095238095238095,0.4571199058255626
standard,score_topk_raw_sum,tour-de-france_2024_ST17,2024,tour-de-france,17,143,0.1460683498427064,0.10735086393200936,0.20521761258702598,0.0,0.0,0.0,0.0,0.18927458085834434,0.025,0.37651022686233954
standard,score_topk_raw_sum,tour-de-france_2024_ST18,2024,tour-de-france,18,143,0.101832549059341,0.13136685855932448,0.14830658610918548,0.0,0.0,0.0,0.0,0.1805752860271265,0.05,0.1620333891460652
standard,score_topk_raw_sum,tour-de-france_2024_ST19,2024,tour-de-france,19,139,0.6377336948617924,0.7351675457343968,0.730873992927891,0.0,1.0,1.0,1.0,0.7738183013359927,0.4708333333333333,0.5293712855802314
standard,score_topk_raw_sum,tour-de-france_2024_ST2,2024,tour-de-france,2,173,0.0,0.026211028847764505,0.0747097165951538,0.0,0.0,0.0,0.0,0.14322978031064265,0.0,-0.16744232400535852
standard,score_topk_raw_sum,tour-de-france_2024_ST20,2024,tour-de-france,20,139,0.8073137974986005,0.7219802782837945,0.7057006842885051,0.0,1.0,1.0,1.0,0.6639929517195163,0.5291666666666667,0.5366459627329191
