explanation,feature,mean_abs_shap,mean_signed_shap,importance_rank,score_feature_order
score_topk_raw_sum,distance,0.01141880195549069,-0.000307403244466214,15,1
top10,distance,0.006033669299601266,8.11611604876826e-05,14,1
top20,distance,0.00431596820591949,0.00024917505332268315,15,1
top5,distance,0.0030102029726064455,-0.00063773945827658,15,1
score_topk_raw_sum,weather_humidity_mean,0.0069416034986109765,0.0023234795992418014,16,2
top10,weather_humidity_mean,0.00398883411466765,0.0015028984196639342,16,2
top20,weather_humidity_mean,0.0032602422016983243,0.0012556662208711184,16,2
top5,weather_humidity_mean,0.0029551698539095612,-0.0004350850412932512,16,2
score_topk_raw_sum,wind_stability_index,0.0062523718694380195,7.338698914584087e-05,17,3
top10,wind_stability_index,0.0023341702937614197,-0.0005197067826520671,17,3
top20,wind_stability_index,0.0028910507607118555,0.0015126903428851258,17,3
top5,wind_stability_index,0.0027572329796384993,-0.0009195965710872177,17,3
