explanation,feature,mean_abs_shap,mean_signed_shap,importance_rank
top5,lag_rider_points_season,0.11054250798071732,0.014351485534183044,1
top5,lag_rider_rank_season,0.05766518299429056,0.008103407606637721,2
top5,age_at_race,0.03567900388812026,-0.012944598159131902,3
top5,rider_bmi,0.034368569110035115,-0.003920395560271572,4
top5,vertical_meters,0.03416081332989658,-0.004712891146967496,5
top5,lag_race_competitiveness_median,0.027294419179670515,0.00024221870737770715,6
top5,gradient_final_km,0.021346056754700846,-0.0025310202672456667,7
top5,lag_team_power_index,0.0159542139027811,-0.00653414886153769,8
top5,stage_nr,0.009837035357874507,-0.004121977282920847,9
top5,weather_rain_prob_mean,0.00905658664763905,-5.254659607695916e-05,10
top5,team_tier,0.007769078049653518,-0.0038804397274119196,11
top5,weather_precipitation_mean,0.007572980426969783,-0.00384032476101614,12
top5,weather_temp_trend,0.006438123453020435,0.00017852502991445572,13
top5,weather_temp_mean,0.006354446884943177,0.0009552823189490803,14
top5,distance,0.0030102029726064455,-0.00063773945827658,15
top5,weather_humidity_mean,0.0029551698539095612,-0.0004350850412932512,16
top5,wind_stability_index,0.0027572329796384993,-0.0009195965710872177,17
